Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)(MeV-1 cm-2)
4.9297e+01	3.9679e+05	4.3850e+04
4.9869e+01	3.8825e+05	4.3903e+04
5.0447e+01	3.7990e+05	4.3943e+04
5.1032e+01	3.7173e+05	4.3980e+04
5.1624e+01	3.6373e+05	4.4049e+04
5.2223e+01	3.5582e+05	4.4081e+04
5.2829e+01	3.4807e+05	4.4104e+04
5.3442e+01	3.4048e+05	4.4115e+04
5.4062e+01	3.3305e+05	4.4134e+04
5.4689e+01	3.2577e+05	4.4143e+04
5.5323e+01	3.1864e+05	4.4138e+04
5.5965e+01	3.1167e+05	4.4173e+04
5.6614e+01	3.0486e+05	4.4176e+04
5.7270e+01	2.9819e+05	4.4165e+04
5.7935e+01	2.9167e+05	4.4144e+04
5.8607e+01	2.8529e+05	4.4134e+04
5.9286e+01	2.7908e+05	4.4100e+04
5.9974e+01	2.7301e+05	4.4078e+04
6.0670e+01	2.6708e+05	4.4060e+04
6.1373e+01	2.6127e+05	4.4017e+04
6.2085e+01	2.5560e+05	4.3965e+04
6.2805e+01	2.5012e+05	4.3923e+04
6.3534e+01	2.4471e+05	4.3855e+04
6.4271e+01	2.3943e+05	4.3820e+04
6.5016e+01	2.3428e+05	4.3750e+04
6.5770e+01	2.2923e+05	4.3667e+04
6.6533e+01	2.2430e+05	4.3599e+04
6.7305e+01	2.1948e+05	4.3503e+04
6.8086e+01	2.1475e+05	4.3441e+04
6.8875e+01	2.1013e+05	4.3341e+04
6.9674e+01	2.0561e+05	4.3232e+04
7.0482e+01	2.0121e+05	4.3121e+04
7.1300e+01	1.9694e+05	4.3003e+04
7.2127e+01	1.9276e+05	4.2912e+04
7.2963e+01	1.8867e+05	4.2774e+04
7.3810e+01	1.8467e+05	4.2643e+04
7.4666e+01	1.8075e+05	4.2496e+04
7.5532e+01	1.7691e+05	4.2377e+04
7.6408e+01	1.7315e+05	4.2217e+04
7.7294e+01	1.6948e+05	4.2065e+04
7.8191e+01	1.6584e+05	4.1897e+04
7.9098e+01	1.6226e+05	4.1755e+04
8.0015e+01	1.5877e+05	4.1572e+04
8.0943e+01	1.5535e+05	4.1394e+04
8.1882e+01	1.5200e+05	4.1228e+04
