# E(MeV) Phi16 Phi84
8.038735e+02 2.451429e-32 7.286212e+02
8.199871e+02 4.652786e-33 6.850129e+02
8.364237e+02 8.549428e-34 6.462667e+02
8.531897e+02 1.519288e-34 6.095750e+02
8.702918e+02 2.614552e-35 5.753242e+02
8.877368e+02 4.342496e-36 5.423083e+02
9.055314e+02 6.954177e-37 5.099322e+02
9.236827e+02 1.075328e-37 4.794548e+02
9.421978e+02 1.606229e-38 4.508909e+02
9.610841e+02 2.314747e-39 4.250727e+02
9.803490e+02 3.211785e-40 4.010985e+02
1.000000e+03 4.275291e-41 3.774463e+02
