# Energy(MeV) Phi_16_Spherical Phi_84_Spherical
5.669007e+02 5.563473e+03 2.950309e+04
5.748030e+02 5.334502e+03 2.863969e+04
5.828155e+02 5.114499e+03 2.773549e+04
5.909396e+02 4.903653e+03 2.684671e+04
5.991770e+02 4.701490e+03 2.598312e+04
6.075292e+02 4.507653e+03 2.514087e+04
6.159978e+02 4.321800e+03 2.432568e+04
6.245845e+02 4.143602e+03 2.352702e+04
6.332908e+02 3.972743e+03 2.275221e+04
6.421186e+02 3.809616e+03 2.201131e+04
6.510694e+02 3.653660e+03 2.133652e+04
6.601449e+02 3.504080e+03 2.065829e+04
6.693470e+02 3.360618e+03 2.005953e+04
6.786773e+02 3.223022e+03 1.941056e+04
6.881377e+02 3.091054e+03 1.876982e+04
6.977300e+02 2.964483e+03 1.815029e+04
7.074559e+02 2.843089e+03 1.755458e+04
7.173175e+02 2.726660e+03 1.699055e+04
7.273165e+02 2.615303e+03 1.644469e+04
7.374549e+02 2.507097e+03 1.591642e+04
7.477346e+02 2.401724e+03 1.540517e+04
7.581576e+02 2.300183e+03 1.491040e+04
7.687260e+02 2.203502e+03 1.442851e+04
7.794416e+02 2.110879e+03 1.396163e+04
7.903066e+02 2.022341e+03 1.350991e+04
8.013230e+02 1.938465e+03 1.307284e+04
8.124930e+02 1.858137e+03 1.264997e+04
8.238187e+02 1.781333e+03 1.226965e+04
8.353023e+02 1.707699e+03 1.193591e+04
8.469460e+02 1.637104e+03 1.158612e+04
8.587519e+02 1.567218e+03 1.120573e+04
8.707225e+02 1.501928e+03 1.083788e+04
8.828599e+02 1.440128e+03 1.048215e+04
8.951665e+02 1.381042e+03 1.013814e+04
9.076446e+02 1.324609e+03 9.805475e+03
9.202967e+02 1.270692e+03 9.483769e+03
9.331251e+02 1.218145e+03 9.172662e+03
9.461324e+02 1.168058e+03 8.871805e+03
9.593209e+02 1.120634e+03 8.580859e+03
9.726934e+02 1.075131e+03 8.299497e+03
9.862522e+02 1.031472e+03 8.027402e+03
1.000000e+03 9.905991e+02 7.764269e+03
